phix,phiy,betx,bety
2.66E+01,1.03E+01,1.03E+01,1.48E+01
2.67E+01,1.03E+01,7.91E+00,1.83E+01
2.67E+01,1.03E+01,7.91E+00,1.83E+01
2.67E+01,1.03E+01,5.77E+00,2.22E+01
2.67E+01,1.03E+01,5.77E+00,2.22E+01
2.67E+01,1.03E+01,4.88E+00,2.43E+01
2.68E+01,1.04E+01,2.90E+00,2.70E+01
2.69E+01,1.04E+01,2.26E+00,2.54E+01
2.69E+01,1.04E+01,2.24E+00,2.53E+01
2.88E+01,1.05E+01,2.21E+00,9.40E+00
2.88E+01,1.05E+01,2.24E+00,9.34E+00
2.88E+01,1.05E+01,2.55E+00,8.71E+00
2.88E+01,1.05E+01,2.55E+00,8.71E+00
2.88E+01,1.05E+01,2.74E+00,8.36E+00
2.89E+01,1.05E+01,3.24E+00,7.55E+00
2.89E+01,1.06E+01,3.80E+00,6.78E+00
2.89E+01,1.06E+01,3.80E+00,6.78E+00
2.91E+01,1.07E+01,7.88E+00,3.41E+00
2.91E+01,1.09E+01,7.76E+00,3.21E+00
2.91E+01,1.09E+01,7.12E+00,3.42E+00
2.92E+01,1.09E+01,6.23E+00,3.77E+00
2.92E+01,1.10E+01,4.29E+00,4.75E+00
2.92E+01,1.10E+01,4.29E+00,4.75E+00
2.93E+01,1.11E+01,3.25E+00,5.48E+00
2.93E+01,1.11E+01,3.25E+00,5.48E+00
2.93E+01,1.11E+01,2.97E+00,5.72E+00
2.94E+01,1.11E+01,2.45E+00,6.22E+00
2.95E+01,1.11E+01,1.82E+00,6.99E+00
2.95E+01,1.11E+01,1.79E+00,7.03E+00
3.15E+01,1.13E+01,3.09E+00,1.68E+01
3.15E+01,1.13E+01,3.12E+00,1.69E+01
3.15E+01,1.13E+01,3.56E+00,1.74E+01
3.15E+01,1.13E+01,3.56E+00,1.74E+01
3.16E+01,1.13E+01,4.01E+00,1.78E+01
3.16E+01,1.14E+01,6.85E+00,1.55E+01
3.16E+01,1.14E+01,9.23E+00,1.28E+01
3.16E+01,1.14E+01,9.23E+00,1.28E+01
3.17E+01,1.14E+01,1.49E+01,8.27E+00
3.17E+01,1.15E+01,1.86E+01,5.86E+00
3.17E+01,1.15E+01,1.85E+01,5.43E+00
3.17E+01,1.15E+01,1.85E+01,5.43E+00
3.17E+01,1.15E+01,1.85E+01,5.42E+00
3.18E+01,1.18E+01,1.83E+01,3.05E+00
3.18E+01,1.18E+01,1.83E+01,3.05E+00
3.18E+01,1.24E+01,1.81E+01,2.07E+00
3.19E+01,1.29E+01,1.82E+01,2.80E+00
3.19E+01,1.29E+01,1.82E+01,2.80E+00
3.19E+01,1.31E+01,1.83E+01,3.75E+00
3.20E+01,1.33E+01,1.85E+01,5.00E+00
3.20E+01,1.33E+01,1.85E+01,5.00E+00
3.20E+01,1.33E+01,1.86E+01,5.86E+00
3.20E+01,1.34E+01,1.49E+01,8.27E+00
3.20E+01,1.34E+01,1.14E+01,1.08E+01
3.20E+01,1.34E+01,1.14E+01,1.08E+01
3.20E+01,1.34E+01,8.17E+00,1.39E+01
3.20E+01,1.34E+01,8.17E+00,1.39E+01
3.21E+01,1.34E+01,6.85E+00,1.55E+01
3.21E+01,1.34E+01,4.01E+00,1.78E+01
3.22E+01,1.34E+01,3.12E+00,1.69E+01
3.22E+01,1.34E+01,3.09E+00,1.68E+01
3.42E+01,1.36E+01,1.79E+00,7.03E+00
3.42E+01,1.36E+01,1.82E+00,6.99E+00
3.43E+01,1.37E+01,2.13E+00,6.59E+00
3.43E+01,1.37E+01,2.32E+00,6.37E+00
3.44E+01,1.37E+01,2.82E+00,5.86E+00
3.44E+01,1.37E+01,3.40E+00,5.37E+00
3.44E+01,1.37E+01,3.40E+00,5.37E+00
3.46E+01,1.39E+01,7.76E+00,3.21E+00
3.46E+01,1.40E+01,7.88E+00,3.41E+00
3.46E+01,1.41E+01,7.29E+00,3.75E+00
3.46E+01,1.41E+01,6.47E+00,4.28E+00
3.47E+01,1.42E+01,4.65E+00,5.81E+00
3.47E+01,1.42E+01,4.65E+00,5.81E+00
3.48E+01,1.42E+01,3.66E+00,6.96E+00
3.48E+01,1.42E+01,3.66E+00,6.96E+00
3.48E+01,1.42E+01,3.39E+00,7.34E+00
3.48E+01,1.42E+01,2.87E+00,8.13E+00
3.49E+01,1.43E+01,2.24E+00,9.34E+00
3.49E+01,1.43E+01,2.21E+00,9.40E+00
3.68E+01,1.44E+01,2.24E+00,2.53E+01
3.68E+01,1.44E+01,2.26E+00,2.54E+01
3.69E+01,1.44E+01,2.58E+00,2.62E+01
3.69E+01,1.44E+01,2.58E+00,2.62E+01
3.69E+01,1.44E+01,2.90E+00,2.70E+01
3.70E+01,1.44E+01,4.88E+00,2.43E+01
3.70E+01,1.44E+01,6.48E+00,2.08E+01
3.70E+01,1.44E+01,6.48E+00,2.08E+01
3.70E+01,1.44E+01,1.03E+01,1.48E+01
3.71E+01,1.45E+01,1.27E+01,1.20E+01
3.71E+01,1.45E+01,1.27E+01,1.20E+01
3.71E+01,1.45E+01,1.27E+01,1.20E+01
3.71E+01,1.45E+01,1.27E+01,1.19E+01
3.71E+01,1.46E+01,1.26E+01,1.19E+01
3.72E+01,1.46E+01,1.26E+01,1.19E+01
3.72E+01,1.46E+01,1.26E+01,1.19E+01
3.72E+01,1.46E+01,1.27E+01,1.19E+01
3.72E+01,1.46E+01,1.27E+01,1.20E+01
3.73E+01,1.47E+01,1.27E+01,1.20E+01
3.73E+01,1.47E+01,1.03E+01,1.48E+01
3.73E+01,1.47E+01,7.92E+00,1.83E+01
3.73E+01,1.47E+01,7.92E+00,1.83E+01
3.73E+01,1.47E+01,5.77E+00,2.22E+01
3.73E+01,1.47E+01,5.77E+00,2.22E+01
3.73E+01,1.47E+01,4.88E+00,2.43E+01
3.74E+01,1.47E+01,2.90E+00,2.70E+01
3.75E+01,1.47E+01,2.26E+00,2.54E+01
3.75E+01,1.47E+01,2.24E+00,2.53E+01
3.94E+01,1.49E+01,2.21E+00,9.40E+00
3.94E+01,1.49E+01,2.24E+00,9.34E+00
3.95E+01,1.49E+01,2.55E+00,8.71E+00
3.95E+01,1.49E+01,2.55E+00,8.71E+00
3.95E+01,1.49E+01,2.74E+00,8.36E+00
3.95E+01,1.49E+01,3.24E+00,7.55E+00
3.96E+01,1.49E+01,3.80E+00,6.78E+00
3.96E+01,1.49E+01,3.80E+00,6.78E+00
3.97E+01,1.51E+01,7.88E+00,3.41E+00
3.98E+01,1.52E+01,7.76E+00,3.21E+00
3.98E+01,1.53E+01,7.12E+00,3.42E+00
3.98E+01,1.53E+01,6.23E+00,3.77E+00
3.99E+01,1.54E+01,4.29E+00,4.75E+00
3.99E+01,1.54E+01,4.29E+00,4.75E+00
3.99E+01,1.54E+01,3.25E+00,5.48E+00
3.99E+01,1.54E+01,3.25E+00,5.48E+00
4.00E+01,1.54E+01,2.97E+00,5.72E+00
4.00E+01,1.55E+01,2.45E+00,6.22E+00
4.01E+01,1.55E+01,1.82E+00,6.99E+00
4.01E+01,1.55E+01,1.79E+00,7.03E+00
4.21E+01,1.57E+01,3.08E+00,1.68E+01
4.21E+01,1.57E+01,3.12E+00,1.69E+01
4.22E+01,1.57E+01,3.56E+00,1.74E+01
4.22E+01,1.57E+01,3.56E+00,1.74E+01
4.22E+01,1.57E+01,4.01E+00,1.78E+01
4.23E+01,1.57E+01,6.84E+00,1.55E+01
4.23E+01,1.57E+01,9.23E+00,1.28E+01
4.23E+01,1.57E+01,9.23E+00,1.28E+01
4.23E+01,1.58E+01,1.49E+01,8.27E+00
4.23E+01,1.58E+01,1.86E+01,5.86E+00
4.23E+01,1.58E+01,1.85E+01,5.42E+00
4.23E+01,1.58E+01,1.85E+01,5.42E+00
4.24E+01,1.62E+01,1.82E+01,2.87E+00
4.24E+01,1.62E+01,1.82E+01,2.87E+00
4.25E+01,1.67E+01,1.81E+01,2.07E+00
4.25E+01,1.67E+01,1.81E+01,2.07E+00
4.26E+01,1.73E+01,1.82E+01,2.87E+00
4.26E+01,1.73E+01,1.82E+01,2.87E+00
4.26E+01,1.74E+01,1.83E+01,3.48E+00
